;Karol - Centrum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;REDUTOWA  - 48-P;;;;U LESZKA;;;;¯abka Piêkna;;;;Metro;;;;Piekarnia;;;;Bia³obrzeska Warzywniak;;;;Sofia;;;;Zachodni.Arek;;;;OdiDo;;;;Minutka;;;;¯elazna;;;;Szko³a u Tomiego;;;;Elektrolarna;;;;Œródmieœcie;;;;¯abka Aleje;;;;¯abka Zawiszy;;;;Pruszkowska;;;;Rokosowska;;;;Top.market.Piêkna;;;;Hala;;;;Namys³owska;;;;OdiDo II;;;;Babice;;;;Kredytowa;;;;Fresh.Ho¿a;;;;Cepelek.Sofia;;;;Koszyki;;;;¯abka Marsza³kowska;;;;Zachodni.hala;;;;Pa³ac;;;;Delikatesy.Centrum;;;;Raszyn;;;;Chmielna;;;;Namys³owska II;;;;Carrefour Grójecka;;;;Bazar Banacha;;;;¯abka Œliska;;
Produkt;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA
P¹czek.24szt;94;"3";0,84;;264;;0,56;;;;0;;816;;0,56;;72;;0,56;;24;;0,56;;;;0;;;;;;24;;0,56;;144;;0,56;;;;0;;;;0;;;;0;;120;;0,56;;;;0;;;;0;;120;;0,56;;72;;0,56;;48;;0,56;;72;;0,56;;24;;0,56;;24;;0,56;;;;;;24;;0,56;;;;;;;;;;120;;0,56;;;;0;;;;0;;;;0;;;;;;72;;0,65;;;;;;72;;0,56;;24;8;0,65;;;;;;24;8;0,69
P¹czek.puder.24;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;24;;0,56;;;;0;;;;;;;;0
P¹czek.bezlukru.24;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
P¹czki promocyjne;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
PACZKI ZWYKLE;;;0;;;;0;;2;;1,01;;;;0;;;;0;;;;0;;5;;0,83;;;;;;;;0;;;;0;;9;6;1,01;;;;0;;;;0;;;;0;;7;;1,01;;5;;1,01;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;8;;1,01;;;;0;;6;;1,01;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
P¹czek Kinder;;;0;;5;;1,16;;;;0;;36;;0,65;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;2;;1,16;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;3;;1,16
P¹czek S³ony Karmel;;;0;;;;0;;;;0;;24;;0,65;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;3;;1,16
