NameOfProduct;MaterialCost;Media;Modifier
P¹czek.24szt;0,2633;pr¹d;p¹czki
P¹czek.puder.24;0,222;pr¹d;p¹czki
P¹czek.bezlukru.24;0,2161;pr¹d;p¹czki
PACZKI ZWYKLE;0,2633;pr¹d;p¹czki
P¹czki promocyjne;0,2633;pr¹d;p¹czki
P¹czki t³usty czwartek;0,2633;pr¹d;inne
PRECLE;0,4272;pr¹d;dro¿d¿
DRO¯. Z SEREM;0,4896;gaz;dro¿d¿
DRO¯. Z BUDYNIEM;0,4422;gaz;dro¿d¿
DRO¯. Z JAB£KIEM;0,4932;gaz;dro¿d¿
DRO¯. Z MARMOLAD¥;0,4092;gaz;dro¿d¿
BUDYÑ Z RODZYNK¥;;gaz;dro¿d¿
JAGODZIANKI;0,5878;gaz;dro¿d¿
OPONKA;0,2733;gaz;dro¿d¿
KWADRAT Z JAB£KIEM;;pr¹d;dro¿d¿
GNIAZDKA;0,2733;gaz;dro¿d¿
KWADRAT Z WIŒNI¥;0,4056;pr¹d;dro¿d¿
DRO¯.Z BUDYÑ/RABARBAR;;gaz;dro¿d¿
KWADRAT Z CZEKOLAD¥;0,5203;pr¹d;dro¿d¿
ŒLIMAK Z KOKOSEM;0,4684;gaz;dro¿d¿
DRO¯. ZE ŒLIWK¥;0,557;gaz;dro¿d¿
Ro¿ek.fr.jab³.;0,327;gaz;dro¿d¿
Ro¿ek.fr.ser;0,4838;gaz;dro¿d¿
GRZEBIEÑ;0,267;gaz;dro¿d¿
Pizza;0,8037;gaz;dzieñ
MUFINKI.jasne;0,8786;gaz;dzieñ
MUFINKI.ciemne;0,8228;gaz;dzieñ
Jab³ko W Cieœcie;0,522;gaz;dzieñ
babeczka.budyñ;;gaz;dzieñ
babeczka.ser;;gaz;dzieñ
babeczka.jab³ko;;gaz;dzieñ
babeczka.kajmak;;gaz;dzieñ
Bajaderka;;gaz;dzieñ
MAKOWIEC 400g.;1,7177;gaz;dzieñ
BABKA.CYTRYNOWA;1,8609;gaz;dzieñ
BABKA.MARMUREK;1,8621;gaz;dzieñ
BABKA.TOFFI;1,974;gaz;dzieñ
KEKS 250g.;2,2617;gaz;dzieñ
PLACEK DRO¯D¯.;1,2852;gaz;dzieñ
BABKA DRO¯D¯. 400g.;1,1977;gaz;dzieñ
ZEBRA 300g.;1,947;gaz;dzieñ
PIERNIK 400g.;2,4299;gaz;dzieñ
BEZA 100G;1,1786;gaz;dzieñ
Baletki;1,1661;gaz;dzieñ
Karbowane;0,8707;gaz;dzieñ
Kokosanka;3,977;gaz;dzieñ
Mieszanka;1,0377;gaz;dzieñ
FAWORKI;1,0536;pr¹d;dzieñ
STRUCLA.owocowa;1,5582;gaz;dzieñ
STRUCLA.makowa;2,239;gaz;dzieñ
STRUCLA.serowa;2,1637;gaz;dzieñ
P¹czki liliputy (luz);2,485;gaz;dro¿d¿
Sernik na kg;;gaz;dzieñ
Calzone;1,1689;gaz;dzieñ
MAZUREK;2,2661;gaz;dzieñ
Baletki du¿e;2,9175;gaz;dzieñ
GROSZEK.PTYSIOWY;0,6534;gaz;dzieñ
GROSZEK.PTYSIOWY.kg;6,5343;gaz;dzieñ
S£OMKA.PTYSIOWA;0,4528;gaz;dzieñ
S£OMKA.PTYSIOWA.kg;4,5279;gaz;dzieñ
CHOINKA PIERNIKOWA;1,418;gaz;dzieñ
BU£KA MAŒLANA;0,1897;gaz;dro¿d¿
DRO¯. PIEGUS CZEKOLADOWY;;gaz;dro¿d¿
Kokosanka.kg;2,5649;gaz;dzieñ
Pizza salami;1,287;gaz;dzieñ
Pizza hawajska;1,6866;gaz;dzieñ
DRO¯. Z PORZECZK¥;0,376;gaz;dro¿d¿
DRO¯. Z TRUSKAWK¥;0,3809;gaz;dro¿d¿
BABKA.PORZECZKOWA;2,361;gaz;dzieñ
BABKA.CZEK.Z.WIŒNI¥;2,711;gaz;dzieñ
BABKA.MANDARYNKOWA;2,679;gaz;dzieñ
Beza kg.;4,50207;gaz;dzieñ
P¹czek Kinder;0,5925;pr¹d;p¹czki
P¹czek S³ony Karmel;0,3935;pr¹d;p¹czki
MUFINKA.porzeczka;0,7403;gaz;dzieñ
P¹czki liliputy (paczka);0,2485;pr¹d;p¹czki
Jêzyczki czekoladowe;;;
Strucla z porzeczk¹;;;
Strucla serowa;;;
Strucla z brzoskwini¹;;;


