;Karol - Centrum;;;;;;;;;;
;REDUTOWA  - 48-P;;;;U LESZKA;;;;¯abka Piêkna;;
Produkt;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA
Paczek.24szt;94;3;0,84;;264;;0,56;;;;0
Paczek.puder.24;;;0;;;;0;;;;0
Paczek.bezlukru.24;;;0;;;;0;;;;0
Paczki promocyjne;;;0;;;;0;;;;0
PACZKI ZWYKLE;;;0;;;;0;;2;;1,01
P¹czek Kinder;;;0;;5;;1,16;;;;0
P¹czek S³ony Karmel;;;0;;;;0;;;;0
PRECLE;7;;1,16;;9;;1,01;;2;;1,16
DRO¯. Z SEREM;11;4;1,16;;22;3;1,01;;3;;1,16
DRO¯. Z BUDYNIEM;19;;1,16;;10;5;1,01;;2;;1,16
DRO¯. Z JAB£KIEM;10;;1,16;;10;4;1,01;;;;0
DRO¯. Z MARMOLAD¥;8;;1,16;;12;4;1,01;;1;;1,16
DRO¯. Z PORZECZK¥;;;0;;10;;1,4;;;;0
JAGODZIANKI;23;6;1,85;;15;6;1,85;;3;;1,85
OPONKA;5;;1,16;;10;;1,01;;1;;1,16
GNIAZDKA;7;;1,16;;14;4;1,01;;3;;1,16
KWADRAT Z WIŒNI¥;;;0;;8;2;1,01;;;;0
KWADRAT Z CZEKOLAD¥;;;0;;4;;1,01;;2;;1,16
DRO¯. ZE ŒLIWK¥;;;0;;5;;1,01;;2;;1,16
ŒLIMAK Z KOKOSEM;;;0;;6;2;1,01;;2;;1,16
Pizza;;;0;;12;;1,85;;;;0
MUFINKI.jasne;;;0;;;;0;;;;0
MUFINKI.ciemne;;;0;;;;0;;;;0
MUFINKA.porzeczka;;;0;;;;0;;;;0
BABKA.CYTRYNOWA;;;0;;;;0;;;;0
BABKA.MARMUREK;;;0;;;;0;;;;0
BABKA.CZEK.Z.WIŒNI¥;;;0;;;;0;;;;0
BABKA.MANDARYNKOWA;;;0;;;;0;;;;0
Karbowane;;;0;;;;0;;;;0
Kokosanka;;;0;;4;;3,74;;2;;3,93
P¹czki liliputy (luz);;;0;;;;0;;;;0
P¹czki liliputy (paczka);;;0;;;;0;;;;0
