NameOfProduct;MaterialCost;Media;Modifier
Pączek.24szt;0,2633;prąd;pączki
Pączek.puder.24;0,222;prąd;pączki
Pączek.bezlukru.24;0,2161;prąd;pączki
PACZKI ZWYKLE;0,2633;prąd;pączki
Pączki promocyjne;0,2633;prąd;pączki
Pączki tłusty czwartek;0,2633;prąd;inne
PRECLE;0,4272;prąd;drożdż
DROŻ. Z SEREM;0,4896;gaz;drożdż
DROŻ. Z BUDYNIEM;0,4422;gaz;drożdż
DROŻ. Z JABŁKIEM;0,4932;gaz;drożdż
DROŻ. Z MARMOLADĄ;0,4092;gaz;drożdż
BUDYŃ Z RODZYNKĄ;;gaz;drożdż
JAGODZIANKI;0,5878;gaz;drożdż
OPONKA;0,2733;gaz;drożdż
KWADRAT Z JABŁKIEM;;prąd;drożdż
GNIAZDKA;0,2733;gaz;drożdż
KWADRAT Z WIŚNIĄ;0,4056;prąd;drożdż
DROŻ.Z BUDYŃ/RABARBAR;;gaz;drożdż
KWADRAT Z CZEKOLADĄ;0,5203;prąd;drożdż
ŚLIMAK Z KOKOSEM;0,4684;gaz;drożdż
DROŻ. ZE ŚLIWKĄ;0,557;gaz;drożdż
Rożek.fr.jabł.;0,327;gaz;drożdż
Rożek.fr.ser;0,4838;gaz;drożdż
GRZEBIEŃ;0,267;gaz;drożdż
Pizza;0,8037;gaz;dzień
MUFINKI.jasne;0,8786;gaz;dzień
MUFINKI.ciemne;0,8228;gaz;dzień
Jabłko W Cieście;0,522;gaz;dzień
babeczka.budyń;;gaz;dzień
babeczka.ser;;gaz;dzień
babeczka.jabłko;;gaz;dzień
babeczka.kajmak;;gaz;dzień
Bajaderka;;gaz;dzień
MAKOWIEC 400g.;1,7177;gaz;dzień
BABKA.CYTRYNOWA;1,8609;gaz;dzień
BABKA.MARMUREK;1,8621;gaz;dzień
BABKA.TOFFI;1,974;gaz;dzień
KEKS 250g.;2,2617;gaz;dzień
PLACEK DROŻDŻ.;1,2852;gaz;dzień
BABKA DROŻDŻ. 400g.;1,1977;gaz;dzień
ZEBRA 300g.;1,947;gaz;dzień
PIERNIK 400g.;2,4299;gaz;dzień
BEZA 100G;1,1786;gaz;dzień
Baletki;1,1661;gaz;dzień
Karbowane;0,8707;gaz;dzień
Kokosanka;3,977;gaz;dzień
Mieszanka;1,0377;gaz;dzień
FAWORKI;1,0536;prąd;dzień
STRUCLA.owocowa;1,5582;gaz;dzień
STRUCLA.makowa;2,239;gaz;dzień
STRUCLA.serowa;2,1637;gaz;dzień
Pączki liliputy (luz);2,485;gaz;drożdż
Sernik na kg;;gaz;dzień
Calzone;1,1689;gaz;dzień
MAZUREK;2,2661;gaz;dzień
Baletki duże;2,9175;gaz;dzień
GROSZEK.PTYSIOWY;0,6534;gaz;dzień
GROSZEK.PTYSIOWY.kg;6,5343;gaz;dzień
SŁOMKA.PTYSIOWA;0,4528;gaz;dzień
SŁOMKA.PTYSIOWA.kg;4,5279;gaz;dzień
CHOINKA PIERNIKOWA;1,418;gaz;dzień
BUŁKA MAŚLANA;0,1897;gaz;drożdż
DROŻ. PIEGUS CZEKOLADOWY;;gaz;drożdż
Kokosanka.kg;2,5649;gaz;dzień
Pizza salami;1,287;gaz;dzień
Pizza hawajska;1,6866;gaz;dzień
DROŻ. Z PORZECZKĄ;0,376;gaz;drożdż
DROŻ. Z TRUSKAWKĄ;0,3809;gaz;drożdż
BABKA.PORZECZKOWA;2,361;gaz;dzień
BABKA.CZEK.Z.WIŚNIĄ;2,711;gaz;dzień
BABKA.MANDARYNKOWA;2,679;gaz;dzień
Beza kg.;4,50207;gaz;dzień
Pączek Kinder;0,5925;prąd;pączki
Pączek Słony Karmel;0,3935;prąd;pączki
MUFINKA.porzeczka;0,7403;gaz;dzień
Pączki liliputy (paczka);0,2485;prąd;pączki
Języczki czekoladowe;;;
Strucla z porzeczką;;;
Strucla serowa;;;
Strucla z brzoskwinią;;;


